created_at,name,act_name,symbol,qty,cex,status,up_status,path,level,earn,cost,buy_px,benefit,sell_px,profit,order_id,client_order_id,fx_order_id,fx_client_order_id,signature,chain,open_at,close_at,mint,dex_act,dex_status,dex_fail_count
2025-04-25 19:18:44.971,bitgetHIPPO,bitget,HIPPOUSDT,21974.0,bitget,filled,0,buy->sell,2,4.0,55.857908,0.002542,,,,1299621895599759371,ccf93b3d-d893-4824-9a2b-51f6239bb1ee,1.299650340304134e+18,d7f090f6-fbaa-4b51-b5d1-0c5b09110f16,,,2025-04-25 20:26:42.692,,,,,0
2025-04-25 19:40:53.884,bitgetTURBO,bitget,TURBOUSDT,6571.0,bitget,filled,0,buy->sell,1,1.0,28.991252,0.004412,,,,1299627469863329795,5afc9e2e-ffa8-40ec-a42d-8dce68dabfc6,1.2996503750749143e+18,a31df9d2-9c17-496d-99d1-0d266da424ba,,,2025-04-25 20:36:27.322,,,,,0
2025-04-25 19:44:09.794,bitgetFARTCOIN,bitget,FARTCOINUSDT,27.39,bitget,filled,0,buy->sell,1,0.8,29.186784,1.0656,,,,1299628290676039680,96e988b3-401d-485c-8bf9-a57fa1b8650b,1.2996501776783852e+18,1f1625d6-7ffe-42c7-bee6-df08a3d6e671,,,2025-04-25 20:53:51.188,,,,,0
2025-04-25 20:02:45.692,bitgetHIPPO,bitget,HIPPOUSDT,11560.69,bitget,filled,0,buy->sell,1,1.0,28.93640707,0.002503,,,,1299632974224629760,626a4d65-082f-48ec-bab8-09e51d3dd1c3,1.2996503764758118e+18,61115e27-4876-45c5-8281-679484f476a1,,,2025-04-25 20:29:54.966,,,,,0
2025-04-18 20:19:43.985,bitgetSolALCH,bitget,ALCHUSDT,222.73,bitget,live,0,cex->dex,1,0.04,,0.13294,29.91466,0.13431,,1297100520980946946,0ee2f2fb-4645-43f4-aa16-56cf1c5b8b58,,,4tuSDGz2NgogoHJ1jELTzWvD8J8AHxBH9piW4BAWwcVy5DcguWS57uEuRYN9VWQLzckJf3N6Yjw2vqkaoayJNNsc,sol,,2025-04-18 20:20:00.584,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
2025-04-18 23:09:04.154,bitgetSolFARTCOIN,bitget,FARTCOINUSDT,41.77,bitget,live,0,cex->dex,1,0.04,,0.7088,30.072899,0.71996,,1297143138414698508,e1e275f1-58b7-4d72-bdd2-4d2260738785,,,5MLQt7gsAsa2QXjwvAfKNUiKyLSHCTwUYFq7Bwi7S5riFZgdtvxR61VCB5GmSH6XQ9Ln5TRQyMyZR2oGKj82yvDm,sol,,2025-04-18 23:09:25.105,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
2025-04-22 01:11:00.357,bitgetSolFARTCOIN,bitget,FARTCOINUSDT,35.55,bitget,live,0,cex->dex,1,0.03,,0.8243,30.062027,0.84563,,1298260999988256781,8225a530-bd1a-400c-a8bd-22f7bc2bf8e5,,,34yqkFKq2xrci6UZV7oBLgsZxpm1sX2gibJyGqiuqWPKMhCQviZQyXU3GvxvwK1t8N2cRRVHpaRad7oMJvBrBCg2,sol,,2025-04-22 01:11:21.719,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
2025-04-22 03:21:36.764,bitgetSolFARTCOIN,bitget,FARTCOINUSDT,33.71,bitget,live,0,cex->dex,1,0.03,,0.8692,30.034112,0.891,,1298293870287331328,d0aaad22-ffa7-4c8a-94d3-f3f7f51b40b2,,,2LMFyQjhtm4bBuBMmwBfxayT9oSVdGHx6DKg6BcEgHfad49qV3EMrQ4rbHs4HHh6xukaR5hJfbxK3Mqoca9qift1,sol,,2025-04-22 03:21:55.686,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
2025-04-22 03:22:00.983,bitgetSolFARTCOIN,bitget,FARTCOINUSDT,33.64,bitget,live,0,cex->dex,1,0.03,,0.8712,30.060379,0.89359,,1298293971718184960,93eeed7f-dc62-457b-8a5f-b68c892e528d,,,4ijP8N7b7yk9Y5pFf3CW8SNAUiapXAtEpGaR75h9rRwYsdGKoZzY69qLRAqPHkM6wb6QwdiSWoFkL9aYs9LtSWur,sol,,2025-04-22 03:22:21.791,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
2025-04-22 03:23:40.211,bitgetSolFARTCOIN,bitget,FARTCOINUSDT,33.69,bitget,live,0,cex->dex,1,0.03,,0.8698,29.970372,0.8896,,1298294386316746755,412cecc8-fbc8-4958-8e48-90f46575535e,,,4mdKiacdJG14HJMvzkLFDyAKpPzwb4ggq9QRzUpBzTZz2qUiU65ug5B4ZhaEFYnUHLjTE3Ck23n5tsN8g6sCKjew,sol,,2025-04-22 03:23:53.902,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
2025-04-22 03:32:18.822,bitgetSolFARTCOIN,bitget,FARTCOINUSDT,33.53,bitget,live,0,cex->dex,1,0.03,,0.8739,29.965446,0.8937,,1298296562502017024,52131d57-d4fc-4a2c-be83-2eb052504b63,,,5AA2Cm25YJRMquaTrAa9V5DxaoK5ZxN5savyGWLmMCsMXKcADFwuVFAnYSkGrLiWwdg1GU86UzXE4um982vg9AnA,sol,,2025-04-22 03:32:34.059,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
2025-04-22 03:58:58.612,bitgetSolFARTCOIN,bitget,FARTCOINUSDT,33.17,bitget,live,0,cex->dex,1,0.03,,0.8834,30.184009,0.91,,1298303271379345408,d2655664-51e0-4816-92a0-258b6faa6181,,,5x61PbFyiPUwuKX9RXnFjwRXayrDV9R1ohVNj39JLD278H8WgE8UhWV7S2RpcK62miuu49DUrw7w4wAG7jQ7TnLV,sol,,2025-04-22 03:59:12.933,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
