date,r1,r2,r3,r4,r5,r6,blue
2013-01-01,6,8,14,15,24,25,6
2013-01-03,1,16,18,22,28,30,12
2013-01-06,22,23,26,27,28,33,9
2013-01-08,6,10,16,20,27,32,8
2013-01-10,1,13,14,25,31,32,12
2013-01-13,9,10,13,17,22,30,13
2013-01-15,2,9,15,22,26,32,1
2013-01-17,3,8,17,21,25,32,15
2013-01-20,1,4,9,13,16,23,2
2013-01-22,1,9,11,17,32,33,12
2013-01-24,3,12,17,24,27,29,9
2013-01-27,6,14,17,22,28,29,2
2013-01-29,5,6,13,19,22,28,9
2013-01-31,2,4,5,17,19,20,8
2013-02-03,5,6,7,11,13,18,15
2013-02-05,2,5,6,12,14,28,5
2013-02-07,4,6,12,30,31,32,9
2013-02-17,2,8,13,28,29,30,5
2013-02-19,1,2,5,16,20,26,6
2013-02-21,1,7,8,12,16,21,1
2013-02-24,1,6,17,19,26,31,11
2013-02-26,2,4,7,9,15,20,7
2013-02-28,3,6,15,18,30,32,5
2013-03-03,4,5,13,23,27,30,9
2013-03-05,16,17,18,24,25,30,8
2013-03-07,4,11,14,15,22,31,11
2013-03-10,1,2,4,12,21,24,12
2013-03-12,7,8,14,25,26,28,13
2013-03-14,6,7,10,19,23,29,12
2013-03-17,7,14,18,25,26,29,6
2013-03-19,3,13,14,15,21,33,3
2013-03-21,4,21,25,29,30,33,3
2013-03-24,5,6,13,17,19,28,1
2013-03-26,6,15,20,22,26,33,9
2013-03-28,1,14,15,17,26,30,2
2013-03-31,4,5,9,27,29,31,13
2013-04-02,2,15,18,27,28,32,14
2013-04-04,9,10,12,14,15,19,11
2013-04-07,1,2,14,15,24,29,6
2013-04-09,2,4,10,12,17,30,10
2013-04-11,2,10,12,17,23,24,5
2013-04-14,1,8,12,13,15,33,3
2013-04-16,3,6,14,15,17,25,16
2013-04-18,3,5,11,18,26,28,6
2013-04-21,6,7,8,14,23,31,12
2013-04-23,3,16,19,20,24,26,6
2013-04-25,1,8,11,17,27,30,12
2013-04-28,10,13,17,28,30,32,4
2013-04-30,10,13,14,16,21,32,14
2013-05-02,3,7,13,18,22,25,3
2013-05-05,8,12,15,19,28,29,2
2013-05-07,6,7,14,21,22,24,13
